userId,sessionId,endTime,gameVersion,startTime,startTimeMs
P001,P001_1760711330590,,,2025-10-17 14:28:50,2025-10-17 14:28:50
P001,P001_1760711519374,,,2025-10-17 14:31:59,2025-10-17 14:31:59
P001,P001_1760711546392,,,2025-10-17 14:32:26,2025-10-17 14:32:26
P001,P001_1760714714590,,,2025-10-17 15:25:14,2025-10-17 15:25:14
P001,P001_1760715217381,,,2025-10-17 15:33:37,2025-10-17 15:33:37
P001,P001_1760917265686,,,2025-10-19 23:41:06,2025-10-19 23:41:05
P001,P001_1760917368079,,,2025-10-19 23:42:48,2025-10-19 23:42:48
P001,P001_1760917494773,,,2025-10-19 23:44:55,2025-10-19 23:44:54
P001,P001_1760917872110,,,2025-10-19 23:51:12,2025-10-19 23:51:12
P001,P001_1760917912287,,,2025-10-19 23:51:52,2025-10-19 23:51:52
P001,P001_1760918261422,,,2025-10-19 23:57:41,2025-10-19 23:57:41
P001,P001_1760918281821,,,2025-10-19 23:58:02,2025-10-19 23:58:01
P001,P001_1760918290264,2025-10-20 00:04:05,,2025-10-19 23:58:10,2025-10-19 23:58:10
P001,P001_1760918647843,2025-10-20 00:04:08,,2025-10-20 00:04:08,2025-10-20 00:04:07
P001,P001_1760918664836,,,2025-10-20 00:04:25,2025-10-20 00:04:24
P001,P001_1760919289030,2025-10-20 00:15:17,,2025-10-20 00:14:49,2025-10-20 00:14:49
P001,P001_1760919338533,,,2025-10-20 00:15:38,2025-10-20 00:15:38
P001,P001_1760919358858,,,2025-10-20 00:15:59,2025-10-20 00:15:58
P001,P001_1760920230681,,,2025-10-20 00:30:31,2025-10-20 00:30:30
P001,P001_1760992282759,,,2025-10-20 20:31:23,2025-10-20 20:31:22
P001,P001_1760992638545,,,2025-10-20 20:37:18,2025-10-20 20:37:18
P001,P001_1761003681291,,,2025-10-20 23:41:21,2025-10-20 23:41:21
P001,P001_1761004431715,,,2025-10-20 23:53:52,2025-10-20 23:53:51
P001,P001_1761008212956,,,2025-10-21 00:56:53,2025-10-21 00:56:52
P001,P001_1761009656004,,,2025-10-21 01:20:56,2025-10-21 01:20:56
P001,P001_1761009696361,,,2025-10-21 01:21:36,2025-10-21 01:21:36
P001,P001_1761009841524,,,2025-10-21 01:24:02,2025-10-21 01:24:01
P001,P001_1761010314680,,,2025-10-21 01:31:55,2025-10-21 01:31:54
P001,P001_1761010617236,,,2025-10-21 01:36:57,2025-10-21 01:36:57
P002,P002_1760711881753,2025-10-17 14:38:02,,2025-10-17 14:38:02,2025-10-17 14:38:01
P002,P002_1760711891170,2025-10-17 14:38:11,,2025-10-17 14:38:11,2025-10-17 14:38:11
P002,P002_1760711897581,,,2025-10-17 14:38:17,2025-10-17 14:38:17
P002,P002_1760711898101,,,2025-10-17 14:38:18,2025-10-17 14:38:18
P002,P002_1760712017518,,,2025-10-17 14:40:17,2025-10-17 14:40:17
P003,P003_1760712019490,,,2025-10-17 14:40:19,2025-10-17 14:40:19
P003,P003_1760712411325,,,2025-10-17 14:46:51,2025-10-17 14:46:51
P003,P003_1760712706912,,,2025-10-17 14:51:47,2025-10-17 14:51:46
P004,P004_1760712709959,2025-10-17 14:52:00,,2025-10-17 14:51:50,2025-10-17 14:51:49
P004,P004_1760712749281,,,2025-10-17 14:52:29,2025-10-17 14:52:29
P005,P005_1760714587640,,,2025-10-17 15:23:08,2025-10-17 15:23:07
P005,P005_1760714628996,,,2025-10-17 15:23:49,2025-10-17 15:23:48
P007,P007_1760714724772,,,2025-10-17 15:25:25,2025-10-17 15:25:24
P008,P008_1761010628683,,,2025-10-21 01:37:08,2025-10-21 01:37:08
