userId,sessionId,roundNumber,msSinceGameStart,gameState_bucket2Level,gameState_currentDrainRate,gameState_numBuckets,gameState_score,gameState_vial1Level,gameState_vial2Level,timestamp
P001,P001_1762376999977,0,302308,,0.8,0,0,50,50,2025-11-05 21:15:02
P001,P001_1762377401990,0,54581,0,0.4,1,0,50,50,2025-11-05 21:17:36
P001,P001_1762377401990,1,67596,0,0.8,1,1,50,50,2025-11-05 21:17:49
P001,P001_1762377401990,2,76910,0,0.6,1,1,50,50,2025-11-05 21:17:59
P001,P001_1762377480674,0,1611,,0.8,0,0,50,50,2025-11-05 21:18:02
P001,P001_1762377480674,1,14629,0,0.6,1,1,50,50,2025-11-05 21:18:15
P001,P001_1762377480674,2,27642,,1,0,2,50,50,2025-11-05 21:18:28
P001,P001_1762381491737,0,3784,,1,0,0,50,50,2025-11-05 22:24:55
P001,P001_1762382544781,0,6860,,0.8,0,0,50,50,2025-11-05 22:42:31
P001,P001_1762382818761,0,37726,,0.8,0,0,50,50,2025-11-05 22:47:36
P001,P001_1762383664241,0,42971,,0.8,0,0,50,50,2025-11-05 23:01:47
P001,P001_1762383664241,1,55981,,0.6,0,1,50,50,2025-11-05 23:02:00
P002,P002_1762376530962,0,2636,0,0.4,1,0,50,50,2025-11-05 21:02:13
P002,P002_1762376530962,1,15646,,0.6,0,1,50,50,2025-11-05 21:02:26
P002,P002_1762376530962,2,28660,,0.6,0,2,50,50,2025-11-05 21:02:39
P002,P002_1762376530962,3,44343,0,0.8,1,3,50,50,2025-11-05 21:02:55
P002,P002_1762376530962,4,68342,,0.8,0,4,50,50,2025-11-05 21:03:19
P002,P002_1762376530962,5,92342,,0.4,0,5,50,50,2025-11-05 21:03:43
P002,P002_1762376530962,6,263450,0,0.4,1,6,50,50,2025-11-05 21:06:34
P003,P003_1762383782863,0,317962,,0.8,0,0,50,50,2025-11-05 23:08:21
P003,P003_1762383782863,1,330972,0,0.8,1,1,50,50,2025-11-05 23:08:33
P003,P003_1762383782863,2,343983,0,0.6,1,2,50,50,2025-11-05 23:08:46
P003,P003_1762383782863,3,356993,,0.6,0,3,50,50,2025-11-05 23:08:59
P003,P003_1762383782863,4,370002,0,1,1,4,50,50,2025-11-05 23:09:12
P003,P003_1762383782863,5,383011,,0.8,0,5,50,50,2025-11-05 23:09:25
P003,P003_1762383782863,6,396023,,0.8,0,6,50,50,2025-11-05 23:09:38
P003,P003_1762383782863,7,409031,,1,0,7,50,50,2025-11-05 23:09:51
P003,P003_1762383782863,8,422041,0,0.8,1,8,50,50,2025-11-05 23:10:04
P003,P003_1762383782863,9,435047,0,0.6,1,9,50,50,2025-11-05 23:10:17
P003,P003_1762383782863,10,448055,0,1,1,10,50,50,2025-11-05 23:10:30
P003,P003_1762383782863,11,461064,,0.6,0,11,50,50,2025-11-05 23:10:44
P003,P003_1762383782863,12,474075,0,0.6,1,12,50,50,2025-11-05 23:10:56
P003,P003_1762383782863,13,487086,,0.6,0,13,50,50,2025-11-05 23:11:09
P003,P003_1762383782863,14,500097,,1,0,14,50,50,2025-11-05 23:11:22
P003,P003_1762383782863,15,513110,0,1,1,15,50,50,2025-11-05 23:11:36
P003,P003_1762383782863,16,526118,,0.6,0,16,50,50,2025-11-05 23:11:49
P003,P003_1762383782863,17,539129,0,0.6,1,17,50,50,2025-11-05 23:12:02
P003,P003_1762383782863,18,552139,,0.8,0,18,50,50,2025-11-05 23:12:15
P003,P003_1762383782863,19,565147,0,0.8,1,19,50,50,2025-11-05 23:12:28
P003,P003_1762383782863,20,578155,,1,0,20,50,50,2025-11-05 23:12:41
P003,P003_1762383782863,21,591162,0,1,1,21,50,55,2025-11-05 23:12:54
P003,P003_1762383782863,22,604173,,1,0,22,50,50,2025-11-05 23:13:07
P003,P003_1762383782863,23,617179,0,0.8,1,23,50,50,2025-11-05 23:13:20
P004,P004_1762382369272,0,2563,,0.6,0,0,50,50,2025-11-05 22:39:31
P004,P004_1762383121575,0,26247,0,0.6,1,0,50,50,2025-11-05 22:52:27
P004,P004_1762383121575,1,39257,0,1,1,1,50,50,2025-11-05 22:52:40
P004,P004_1762383121575,2,51494,0,0.6,1,1,55,50,2025-11-05 22:52:53
P004,P004_1762383121575,3,64540,,0.8,0,2,50,50,2025-11-05 22:53:06
P004,P004_1762383121575,4,76347,0,1,1,2,50,50,2025-11-05 22:53:18
P004,P004_1762383121575,5,84356,0,0.8,1,2,50,50,2025-11-05 22:53:26
P004,P004_1762383121575,6,97364,0,1,1,3,50,50,2025-11-05 22:53:39
P004,P004_1762383121575,7,110378,0,0.6,1,4,50,55,2025-11-05 22:53:52
P004,P004_1762383121575,8,123383,,0.6,0,5,50,50,2025-11-05 22:54:05
P004,P004_1762383121575,9,136391,,1,0,6,50,50,2025-11-05 22:54:18
P004,P004_1762383121575,10,149398,,1,0,7,50,50,2025-11-05 22:54:31
P004,P004_1762383121575,11,162407,0,0.6,1,8,50,50,2025-11-05 22:54:44
P004,P004_1762383121575,12,175417,,1,0,9,50,50,2025-11-05 22:54:57
P004,P004_1762383121575,13,188439,,0.6,0,10,50,50,2025-11-05 22:55:10
P004,P004_1762383121575,14,201449,,1,0,11,50,50,2025-11-05 22:55:23
P004,P004_1762383121575,15,214470,,0.8,0,12,55,50,2025-11-05 22:55:36
P004,P004_1762383121575,16,227479,0,0.8,1,13,50,50,2025-11-05 22:55:49
P004,P004_1762383121575,17,240499,,0.8,0,14,50,50,2025-11-05 22:56:02
P004,P004_1762383121575,18,253509,0,0.8,1,15,50,50,2025-11-05 22:56:15
P004,P004_1762383121575,19,266535,0,0.8,1,16,50,50,2025-11-05 22:56:28
P004,P004_1762383121575,20,279569,,0.8,0,17,50,50,2025-11-05 22:56:41
P004,P004_1762383121575,21,292578,,0.6,0,18,50,50,2025-11-05 22:56:54
P004,P004_1762383121575,22,305598,0,1,1,19,55,50,2025-11-05 22:57:07
P004,P004_1762383121575,23,318609,,0.6,0,20,50,50,2025-11-05 22:57:20
P005,P005_1762384733389,0,75240,,0.6,0,0,50,50,2025-11-05 23:20:08
P005,P005_1762384733389,1,88247,,0.6,0,1,50,50,2025-11-05 23:20:21
P005,P005_1762384733389,2,101256,0,1,1,2,50,50,2025-11-05 23:20:34
P005,P005_1762384733389,3,114267,,1,0,3,50,50,2025-11-05 23:20:47
P005,P005_1762384733389,4,127276,0,0.6,1,4,55,50,2025-11-05 23:21:00
P005,P005_1762384733389,5,140286,0,0.8,1,5,50,50,2025-11-05 23:21:13
P005,P005_1762384733389,6,153292,,0.8,0,6,50,50,2025-11-05 23:21:26
P005,P005_1762384733389,7,166300,,0.6,0,7,50,50,2025-11-05 23:21:39
P005,P005_1762384733389,8,179313,0,0.6,1,8,50,50,2025-11-05 23:21:52
P005,P005_1762384733389,9,192321,0,0.8,1,9,50,50,2025-11-05 23:22:05
P005,P005_1762384733389,10,205335,0,0.6,1,10,50,50,2025-11-05 23:22:18
P005,P005_1762384733389,11,218342,0,0.8,1,11,50,50,2025-11-05 23:22:31
P005,P005_1762384733389,12,231351,,0.8,0,12,50,50,2025-11-05 23:22:44
P005,P005_1762384733389,13,244362,,1,0,13,50,50,2025-11-05 23:22:57
P005,P005_1762384733389,14,257374,0,1,1,14,50,50,2025-11-05 23:23:10
P005,P005_1762384733389,15,270382,0,1,1,15,50,50,2025-11-05 23:23:23
P005,P005_1762384733389,16,283391,0,0.8,1,16,50,50,2025-11-05 23:23:36
P005,P005_1762384733389,17,296398,0,1,1,17,50,50,2025-11-05 23:23:49
P005,P005_1762384733389,18,309405,0,0.6,1,18,50,55,2025-11-05 23:24:02
P005,P005_1762384733389,19,322414,,1,0,19,55,50,2025-11-05 23:24:15
P005,P005_1762384733389,20,335422,,0.6,0,20,50,50,2025-11-05 23:24:28
P005,P005_1762384733389,21,348432,,1,0,21,50,50,2025-11-05 23:24:41
P005,P005_1762384733389,22,361440,,0.8,0,22,50,50,2025-11-05 23:24:54
P005,P005_1762384733389,23,374450,,0.8,0,23,50,50,2025-11-05 23:25:07
P006,P006_1762387971001,0,94805,0,0.6,1,0,50,50,2025-11-06 00:14:26
P006,P006_1762387971001,1,107820,,0.6,0,1,50,50,2025-11-06 00:14:38
P006,P006_1762387971001,2,120833,,0.8,0,2,50,50,2025-11-06 00:14:51
P006,P006_1762387971001,3,133842,0,0.6,1,3,50,50,2025-11-06 00:15:04
P006,P006_1762387971001,4,146854,,1,0,4,55,50,2025-11-06 00:15:17
P006,P006_1762387971001,5,159862,0,1,1,5,50,50,2025-11-06 00:15:30
P006,P006_1762387971001,6,172870,,0.8,0,6,50,50,2025-11-06 00:15:43
P006,P006_1762387971001,7,185882,0,1,1,7,50,50,2025-11-06 00:15:56
P006,P006_1762387971001,8,198894,,1,0,8,50,50,2025-11-06 00:16:09
P006,P006_1762387971001,9,211904,0,0.8,1,9,50,50,2025-11-06 00:16:22
P006,P006_1762387971001,10,224915,0,0.8,1,10,50,50,2025-11-06 00:16:35
P006,P006_1762387971001,11,237925,0,1,1,11,50,50,2025-11-06 00:16:48
P006,P006_1762387971001,12,250934,,0.8,0,12,50,50,2025-11-06 00:17:01
P006,P006_1762387971001,13,262745,,0.8,0,12,50,50,2025-11-06 00:17:13
P006,P006_1762387971001,14,275300,,0.6,0,12,50,50,2025-11-06 00:17:26
P006,P006_1762387971001,15,299299,,1,0,13,50,50,2025-11-06 00:17:50
P006,P006_1762387971001,16,323298,,1,0,14,50,50,2025-11-06 00:18:14
P006,P006_1762387971001,17,813301,0,0.8,1,15,50,50,2025-11-06 00:26:24
P006,P006_1762387971001,18,1421375,0,0.6,1,16,50,50,2025-11-06 00:37:43
P006,P006_1762387971001,19,1985594,,0.6,0,17,50,50,2025-11-06 00:46:04
P006,P006_1762387971001,20,2484670,0,0.8,1,18,50,50,2025-11-06 01:00:51
P006,P006_1762387971001,21,3097982,,0.6,0,19,50,50,2025-11-06 01:04:29
P006,P006_1762387971001,22,3109389,0,0.6,1,19,50,50,2025-11-06 01:04:40
P006,P006_1762387971001,23,3120800,0,1,1,19,50,50,2025-11-06 01:04:51
