userId,sessionId,gameVersion,completion_bonusThresholdPct,completion_completedAt,completion_cumulativeProgress,completion_finalScore,completion_isTrainingMode,completion_msSinceSessionStart,completion_reachedBonusGoal,completion_totalRounds,endTime,gameVersionCode,instructionsResult_msSinceSessionStart,instructionsResult_passed,instructionsResult_timestamp,participantId,prelimAnswer,prelimAnsweredAt,prelimMsSinceSessionStart,productionMode,sessionDuration,startTime,startTimeFormatted,termination_msSinceSessionStart,termination_reason,termination_stage,termination_timestamp,trainingResult_msSinceSessionStart,trainingResult_passed,trainingResult_roundsSurvived,trainingResult_survivalRate,trainingResult_timestamp,trainingResult_totalRounds
11,11_1779081000358,one_vial_alternating,,,,,,,,,,0.1,,,,11,asdf,2026-05-18 05:10:02.684,2259,1,,2026-05-18 05:10:00.358,"May 18, 2026, 01:10:00.358 AM",,,,,,,,,,
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,75,2026-05-01 20:15:14.459,93.45,36,0,1802774,1,36,2026-05-01 20:15:14.752,0.1,1084802,1,2026-05-01 20:03:16.519,5ce7fd368020d30018f9d7a5,Prolific,2026-05-01 19:45:22.419,10729,1,1803065,2026-05-01 19:45:11.588,"May 1, 2026, 08:45:11.588 PM",,,,,1057527,1,10,1,2026-05-01 20:02:49.219,10
5d4a41890e604c00011ade8b,5d4a41890e604c00011ade8b_1777665972066,one_vial_alternating,75,2026-05-01 20:27:06.545,92.58,36,0,1253604,1,36,2026-05-01 20:27:06.722,0.1,534923,1,2026-05-01 20:15:07.871,5d4a41890e604c00011ade8b,Desktop,2026-05-01 20:06:22.363,9423,1,1253784,2026-05-01 20:06:12.066,"May 1, 2026, 03:06:12.066 PM",,,,,513056,1,10,1,2026-05-01 20:14:45.997,10
5e62aca37820fe04614b5ffa,5e62aca37820fe04614b5ffa_1777666081171,one_vial_alternating,75,2026-05-01 20:31:30.373,93.19,36,0,1402894,1,36,2026-05-01 20:31:30.254,0.1,684227,1,2026-05-01 20:19:31.792,5e62aca37820fe04614b5ffa,desktop,2026-05-01 20:08:19.422,11892,1,1402776,2026-05-01 20:08:01.171,"May 1, 2026, 04:08:01.171 PM",,,,,667104,1,10,1,2026-05-01 20:19:14.633,10
5f3a7e7b3a55e009ff81175e,5f3a7e7b3a55e009ff81175e_1777664674294,one_vial_alternating,75,2026-05-01 20:06:22.703,92.29,36,0,1308338,1,36,2026-05-01 20:06:22.572,0.1,588651,1,2026-05-01 19:54:23.702,5f3a7e7b3a55e009ff81175e,Prolific,2026-05-01 19:44:45.521,11152,1,1308209,2026-05-01 19:44:34.294,"May 1, 2026, 08:44:34.294 PM",,,,,563172,1,10,1,2026-05-01 19:53:57.537,10
60a9455edf704176d918fbaa,60a9455edf704176d918fbaa_1777665441806,one_vial_alternating,75,2026-05-01 20:30:53.963,94.32,36,0,1862875,1,36,2026-05-01 20:30:54.017,0.1,1142899,1,2026-05-01 20:18:54.093,60a9455edf704176d918fbaa,Prolific,2026-05-01 20:00:22.873,31373,1,1862945,2026-05-01 19:57:21.806,"May 1, 2026, 09:57:21.806 PM",,,,,1087824,1,10,1,2026-05-01 20:17:58.883,10
615a047f08d2a62e66315a7d,615a047f08d2a62e66315a7d_1777666107576,one_vial_alternating,75,2026-05-01 20:36:22.651,83.11,36,0,1677426,1,36,2026-05-01 20:36:22.787,0.1,957563,1,2026-05-01 20:24:24.063,615a047f08d2a62e66315a7d,Prolific,2026-05-01 20:08:37.369,12159,1,1677568,2026-05-01 20:08:27.576,"May 1, 2026, 10:08:27.576 PM",,,,,819843,1,10,1,2026-05-01 20:22:05.060,10
6317484f0c7c585248df1ab9,6317484f0c7c585248df1ab9_1777746139387,one_vial_alternating,,,,,,,,,,0.1,347406,0,2026-05-02 18:28:06.960,6317484f0c7c585248df1ab9,Prolific,2026-05-02 18:22:31.225,11677,1,,2026-05-02 18:22:19.387,"May 2, 2026, 07:22:19.387 PM",347407,instructions_failed,instructions,2026-05-02 18:28:07.045,,,,,,
64b545f4a6685316298c3785,64b545f4a6685316298c3785_1777664690886,one_vial_alternating,75,2026-05-01 20:16:21.898,88.3,36,0,1890824,1,36,2026-05-01 20:16:22.570,0.1,1171622,1,2026-05-01 20:04:22.719,64b545f4a6685316298c3785,Prolific,2026-05-01 19:45:03.810,12741,1,1891499,2026-05-01 19:44:50.886,"May 1, 2026, 09:44:50.886 PM",,,,,1132495,1,10,1,2026-05-01 20:03:43.561,10
653fb0e1be70b76473be7116,653fb0e1be70b76473be7116_1777666127521,one_vial_alternating,,,,,,,,,,0.1,344218,0,2026-05-01 20:14:31.715,653fb0e1be70b76473be7116,Prolific,2026-05-01 20:08:53.547,6066,1,,2026-05-01 20:08:47.521,"May 1, 2026, 09:08:47.521 PM",344219,instructions_failed,instructions,2026-05-01 20:14:31.753,,,,,,
